File_Name,Article_Link,Article_Snippet,Question,Answer,Distractors,Comments,prompt,completion
NA,https://www.economist.com/graphic-detail/2023/01/13/americas-far-right-is-increasingly-protesting-against-lgbt-people,"Protests against lesbian, gay, bisexual and transgender (lgbt) Americans and their rights are on the rise. Their number more than tripled in 2022—and they accounted for about two-thirds of all far-right protests in December.",Which type of protests from America's far right increased the most in 2022? ,1) Against LGBT,"2) Pro white nationalism 4) Against vaccines
3) Against abortions",,"Protests against lesbian, gay, bisexual and transgender (lgbt) Americans and their rights are on the rise. Their number more than tripled in 2022—and they accounted for about two-thirds of all far-right protests in December.",Which type of protests from America's far right increased the most in 2022? 
NA,https://www.economist.com/graphic-detail/2023/01/12/europes-freakish-winter-heatwave-breaks-records,"The continent experienced its second-hottest year since records began in 1950, according to Copernicus, the eu’s Earth-observation programme.",True/False: The temperature in the 2022-2023 winter is at an average level compared to the previous ten years.,FALSE,TRUE,,"The continent experienced its second-hottest year since records began in 1950, according to Copernicus, the eu’s Earth-observation programme.",True/False: The temperature in the 2022-2023 winter is at an average level compared to the previous ten years.
NA,https://www.economist.com/graphic-detail/2023/01/12/europes-freakish-winter-heatwave-breaks-records,"It came at the end of what has been the hottest year on record in Britain, France, Ireland and Spain, according to national weather services.",Which of these countries had the hottest year on record for 2022?,1) Britain,"2) Bulgaria
3) Turkey
4) Switzerland",Not related to the graph - data is not shown on graph,"It came at the end of what has been the hottest year on record in Britain, France, Ireland and Spain, according to national weather services.",Which of these countries had the hottest year on record for 2022?
NA,https://www.economist.com/graphic-detail/2023/01/12/europes-freakish-winter-heatwave-breaks-records,In Switzerland the average maximum temperature from December 14th to January 10th was 1.6°C higher than the average of the same 28-day period between 2012 and 2021 (see chart).,How much higher was Switzerland's temperature for the 28-day period before January 10 versus the average for the last 10 years?,1) 1.6 deg cel,"2) 2 deg cel, 3) -1 deg cel, 4) .5 deg celsius",,In Switzerland the average maximum temperature from December 14th to January 10th was 1.6°C higher than the average of the same 28-day period between 2012 and 2021 (see chart).,How much higher was Switzerland's temperature for the 28-day period before January 10 versus the average for the last 10 years?
20-years-of-terror.md,https://www.dropbox.com/s/vb6d3j7vbu6otxb/20-years-of-terror.md?dl=0,"THE attacks of September 11th 2001 killed 2,996 people. Despite the subsequent declaration of a war on terror, over the past ten years thousands more have been killed by terrorists of all hues.",What is the smallest number of annual global terrorism death worldwide in 1991-2010?  ,"1) 3,000","2) 5,000
3) 2,000",,"THE attacks of September 11th 2001 killed 2,996 people. Despite the subsequent declaration of a war on terror, over the past ten years thousands more have been killed by terrorists of all hues.",What is the smallest number of annual global terrorism death worldwide in 1991-2010?  
20-years-of-terror.md,https://www.dropbox.com/s/vb6d3j7vbu6otxb/20-years-of-terror.md?dl=0,"THE attacks of September 11th 2001 killed 2,996 people. Despite the subsequent declaration of a war on terror, over the past ten years thousands more have been killed by terrorists of all hues.",What was the trend of global terrorism deaths from 2001 to 2010?,1) increasing,"2) decreasing
3) constant",,"THE attacks of September 11th 2001 killed 2,996 people. Despite the subsequent declaration of a war on terror, over the past ten years thousands more have been killed by terrorists of all hues.",What was the trend of global terrorism deaths from 2001 to 2010?
a-weeks-wages.md,https://www.dropbox.com/s/jtpdmmazfrcoaht/a-weeks-wages.md?dl=0,"IT TOOK around ten days for the average Italian worker to make the €767 ($957) that his firm's chief executive made in an hour in 2012, according to calculations by The Economist.",How long must an average Italian work to make what their companies' CEO earns in an hour?,1) Ten days,"2) Five days
3) Fifteen days
4) Three days",,"IT TOOK around ten days for the average Italian worker to make the €767 ($957) that his firm's chief executive made in an hour in 2012, according to calculations by The Economist.",How long must an average Italian work to make what their companies' CEO earns in an hour?
a-weeks-wages.md,https://www.dropbox.com/s/jtpdmmazfrcoaht/a-weeks-wages.md?dl=0,The pay gap between the top brass and the lowliest worker is generally greatest in former Soviet countries—and Spain and Italy. ,True/False: The pay gap between executives and workers is generally greatest in former Soviet countries. ,TRUE,FALSE,,The pay gap between the top brass and the lowliest worker is generally greatest in former Soviet countries—and Spain and Italy. ,True/False: The pay gap between executives and workers is generally greatest in former Soviet countries. 
a-weeks-wages.md,https://www.dropbox.com/s/jtpdmmazfrcoaht/a-weeks-wages.md?dl=0,"The disparity is smallest in Nordic countries, and in Switzerland, where presumably everyone is paid well.",What European country has the smallest pay disparity between executives and workers? ,1) Norway,"2) Britain
3) Spain
4) Romania",,"The disparity is smallest in Nordic countries, and in Switzerland, where presumably everyone is paid well.",What European country has the smallest pay disparity between executives and workers? 
30m-melancholia.md,https://www.dropbox.com/s/s4dfy67gkcehj3h/30m-melancholics.md?dl=0,A new study estimates the number of people with mental disorders in Europe. The most common condition is depression. ,What is the most common mental disorder in Europe? ,1) Depression,"2) Specific phobias
3) Eating disorders
4) Dementias",,A new study estimates the number of people with mental disorders in Europe. The most common condition is depression. ,What is the most common mental disorder in Europe? 
2015-argentine-presidential-election-primer.md,https://www.dropbox.com/s/dgw1208qbdypixg/2015-argentine-presidential-election-primer.md?dl=0,"A candidate can win in the first round by getting 45% of the vote, or 40% of the vote with a gap of ten percentage points between him and his nearest competitor. Mr Scioli, the front-runner, is close to crossing that second threshold. If he does not succeed, a run-off will be held on November 22nd.","True/False: According to the current voting intentions, we can confidently declare that the run-off will be held. ",FALSE,TRUE,Come back to this one to revise,"A candidate can win in the first round by getting 45% of the vote, or 40% of the vote with a gap of ten percentage points between him and his nearest competitor. Mr Scioli, the front-runner, is close to crossing that second threshold. If he does not succeed, a run-off will be held on November 22nd.","True/False: According to the current voting intentions, we can confidently declare that the run-off will be held. "
a-bit-expensive.md,https://www.dropbox.com/s/9hv7p22lulw8smp/a-bit-expensive.md?dl=0,"As the chart shows, online interest in the currency has spiked in recent months.",Which date is the closest to the last Bitcoin's spiking?,1) January 2013,"2) January 2011
3) Feburary 2012","""As the chart shows...""","As the chart shows, online interest in the currency has spiked in recent months.",Which date is the closest to the last Bitcoin's spiking?
a-bit-expensive.md,https://www.dropbox.com/s/9hv7p22lulw8smp/a-bit-expensive.md?dl=0,"As the chart shows, online interest in the currency has spiked in recent months.",True/False: Online interest in Bitcoin has spiked in recent months.,TRUE,FALSE,"""As the chart shows...""","As the chart shows, online interest in the currency has spiked in recent months.",True/False: Online interest in Bitcoin has spiked in recent months.
a-cut-above,https://www.dropbox.com/s/p2rb0r7hly4eb3s/a-cut-above.md?dl=0,"But when population is accounted for, South Korea tops the list. A 2009 survey by Trend Monitor, a market-research firm, suggested that one in five women in Seoul had gone under the knife.",Which country has the most plastic surgeries per population?,1) South Korea,"2) Brazil
3) America",,"But when population is accounted for, South Korea tops the list. A 2009 survey by Trend Monitor, a market-research firm, suggested that one in five women in Seoul had gone under the knife.",Which country has the most plastic surgeries per population?
a-day-in-the-life,https://www.dropbox.com/s/az01nreohmyk8sb/a-day-in-the-life.md?dl=0,"True to stereotype, the French also spend the most time eating and drinking of OECD members—indeed, they eat for almost twice as long as the Americans. ",Which OECS member has the longest eating and sleeping time?  ,1) French,"2) Turkey
3) United States",,"True to stereotype, the French also spend the most time eating and drinking of OECD members—indeed, they eat for almost twice as long as the Americans. ",Which OECS member has the longest eating and sleeping time?  
a-global-decline-in-smoking-masks-regional-variations-between-the-sexes,https://www.dropbox.com/s/zzmtoakzonwjuos/a-global-decline-in-smoking-masks-regional-variations-between-the-sexes.md?dl=0,In some places women are taking up the habit even as men quit,Which is the most common condition worldwide regarding smoking?,"1) Female decrease, male decrease","2) Female increase, male decrease
3) Female increase, male increase",,In some places women are taking up the habit even as men quit,Which is the most common condition worldwide regarding smoking?
A-historic-election-result-in-myanmar,https://www.dropbox.com/s/7pgj93bopqf38c8/a-historic-election-result-in-myanmar.md?dl=0,"MYANMAR is in the throes of change.... Economic reforms have encouraged a flow of foreign investment, while GDP is growing faster even than China's.",Which country continues experiencing GDP growth from 2008 to 2015? ,1) Myanmar,"2) Laos
3) China",,"MYANMAR is in the throes of change.... Economic reforms have encouraged a flow of foreign investment, while GDP is growing faster even than China's.",Which country continues experiencing GDP growth from 2008 to 2015? 
a-job-for-life,https://www.dropbox.com/s/2pfywx7ksfyctjn/a-job-for-life.md?dl=0,Over half of all papal terms have lasted between two weeks and five years.,What is the range of duration for most of the papal terms?,1) Between two weeks and five years,"2) Six to ten years
3) Eleven to Fifteen years
4) Twenty five to Thirty years",Another version generated by ChatGPT: What is the percentage of papal terms that have lasted between two weeks and five years?,Over half of all papal terms have lasted between two weeks and five years.,What is the range of duration for most of the papal terms?
a-map-of-sloth,https://www.dropbox.com/s/ynfytunhjioeuku/a-map-of-sloth.md?dl=0,"Women in Russia, Croatia, Luxembourg, Greece and Iraq (to name a few) move more than their male counterparts.",In which of the following European countries do women tend to move more than men?,1) Luxembourg,"2) France
3) Spain
4) Italy",should add "European coutries" when generating the question,"Women in Russia, Croatia, Luxembourg, Greece and Iraq (to name a few) move more than their male counterparts.",In which of the following European countries do women tend to move more than men?
